Index,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
1,Enjoyingabeautifuldayatthepark!,Positive,1/15/2023 12:30,User123,Twitter, #Nature #Park,15,30,USA,2023,1,15,12
2,Trafficwasterriblethismorning.,Negative,1/15/2023 8:45,CommuterX,Twitter, #Traffic #Morning,5,10,Canada,2023,1,15,8
3,Justfinishedanamazingworkout!,Positive,1/15/2023 15:45,FitnessFan,Instagram, #Fitness #Workout,20,40,USA,2023,1,15,15
4,Excitedabouttheupcomingweekendgetaway!,Positive,1/15/2023 18:20,AdventureX,Facebook, #Travel #Adventure,8,15,UK,2023,1,15,18
5,Tryingoutanewrecipefordinnertonight.,Neutral,1/15/2023 19:55,ChefCook,Instagram, #Cooking #Food,12,25,Australia,2023,1,15,19
6,Feelinggratefulforthelittlethingsinlife.,Positive,1/16/2023 9:10,GratitudeNow,Twitter, #Gratitude #PositiveVibes,25,50,India,2023,1,16,9
7,Rainydayscallforcozyblanketsandhotcocoa.,Positive,1/16/2023 14:45,RainyDays,Facebook, #RainyDays #Cozy,10,20,Canada,2023,1,16,14
8,Thenewmoviereleaseisamust-watch!,Positive,1/16/2023 19:30,MovieBuff,Instagram, #MovieNight #MustWatch,15,30,USA,2023,1,16,19
9,Politicaldiscussionsheatinguponthetimeline.,Negative,1/17/2023 8:00,DebateTalk,Twitter, #Politics #Debate,30,60,USA,2023,1,17,8
10,Missingsummervibesandbeachdays.,Neutral,1/17/2023 12:20,BeachLover,Facebook, #Summer #BeachDays,18,35,Australia,2023,1,17,12
11,Justpublishedanewblogpost.Checkitout!,Positive,1/17/2023 15:15,BloggerX,Instagram, #Blogging #NewPost,22,45,USA,2023,1,17,15
12,Feelingabitundertheweathertoday.,Negative,1/18/2023 10:30,WellnessCheck,Twitter, #SickDay #Health,7,15,Canada,2023,1,18,10
13,Exploringthecity'shiddengems.,Positive,1/18/2023 14:50,UrbanExplorer,Facebook, #CityExplore #HiddenGems,12,25,UK,2023,1,18,14
14,"Newyear,newfitnessgoals!",Positive,1/18/2023 18:00,FitJourney,Instagram, #NewYear #FitnessGoals,28,55,USA,2023,1,18,18
15,Technologyischangingthewaywelive.,Neutral,1/19/2023 9:45,TechEnthusiast,Twitter, #Tech #Innovation,15,30,India,2023,1,19,9
16,Reflectingonthepastandlookingahead.,Positive,1/19/2023 13:20,Reflections,Facebook, #Reflection #Future,20,40,USA,2023,1,19,13
17,Justadoptedacutefurryfriend!,Positive,1/19/2023 17:10,PetAdopter,Instagram, #PetAdoption #FurryFriend,15,30,Canada,2023,1,19,17
18,Late-nightgamingsessionwithfriends.,Positive,1/20/2023 0:05,GamerX,Twitter, #Gaming #LateNight,18,35,UK,2023,1,20,0
19,AttendingavirtualconferenceonAI.,Neutral,1/20/2023 11:30,TechConference,Facebook, #AI #TechConference,25,50,USA,2023,1,20,11
20,Winterbluesgotmefeelinglow.,Negative,1/20/2023 15:15,WinterBlues,Instagram, #WinterBlues #Mood,8,15,USA,2023,1,20,15
21,Sippingcoffeeandenjoyingagoodbook.,Positive,1/21/2023 8:40,Bookworm,Twitter, #Reading #CoffeeTime,22,45,India,2023,1,21,8
22,Exploringtheworldofvirtualreality.,Positive,1/21/2023 13:20,VRExplorer,Facebook, #VR #VirtualReality,15,30,USA,2023,1,21,13
23,Productivedaytickingoffmyto-dolist.,Positive,1/21/2023 16:45,ProductivityPro,Instagram, #Productivity #WorkFromHome,30,60,USA,2023,1,21,16
24,Justfinishedachallengingworkoutroutine.,Positive,1/22/2023 9:15,FitnessWarrior,Twitter, #Fitness #ChallengeAccepted,20,40,UK,2023,1,22,9
25,Celebratingamilestoneatwork!,Positive,1/22/2023 14:30,CareerMilestone,Facebook, #Career #Milestone,12,25,Canada,2023,1,22,14
26,Sundaybrunchwithfriends.,Positive,1/22/2023 12:00,BrunchBuddy,Instagram, #Brunch #Friends,15,30,UK,2023,1,22,12
27,Learninganewlanguageforpersonalgrowth.,Positive,1/23/2023 16:20,LanguageLearner,Facebook, #LanguageLearning #PersonalGrowth,25,50,India,2023,1,23,16
28,Quieteveningwithagoodbook.,Positive,1/23/2023 19:45,BookLover,Instagram, #Reading #QuietTime,15,30,Australia,2023,1,23,19
29,Reflectingontheimportanceofmentalhealth.,Positive,1/24/2023 11:30,MentalHealthMatters,Twitter, #MentalHealth #SelfCare,22,45,USA,2023,1,24,11
